prev,b_int,auc_corrected_bias,auc_uncorrected_bias
-6,0.1,0.006691751506325917,0.017888455859438466
-4,0.1,0.05172974060132088,0.10255905013820753
-2.5,0.1,0.1242717201112729,0.2245822234498992
-6,0.2,0.00678890315297315,0.017924411298321886
-4,0.2,0.05099631735817185,0.10164324473823778
-2.5,0.2,0.11951894297856812,0.21428062018932387
-6,0.30000000000000004,0.007303138359842562,0.018331745012139456
-4,0.30000000000000004,0.05059210866362232,0.10069936453625157
-2.5,0.30000000000000004,0.11538733857969544,0.2029138358676876
-6,0.4,0.006821773943112217,0.01795056889943757
-4,0.4,0.050057401493934985,0.0995863159927542
-2.5,0.4,0.10857436303629918,0.18743097762105243
-6,0.5,0.007639320394782603,0.018272610289781298
-4,0.5,0.049262947628896506,0.0981683012261009
-2.5,0.5,0.10318160754071505,0.1711439527844089
-6,0.6,0.007026366737937807,0.018623994153714588
-4,0.6,0.04811749596185469,0.09592186497673015
-2.5,0.6,0.09723537289379403,0.15456871162217165
-6,0.7000000000000001,0.006168827903520267,0.01796838503384781
-4,0.7000000000000001,0.04650151096085394,0.09275587890497156
-2.5,0.7000000000000001,0.0918109371771684,0.13838838050859315
-6,0.8,0.007492901838327764,0.017949293558423354
-4,0.8,0.045771762810798845,0.08972595925261899
-2.5,0.8,0.08777064196712792,0.12457238236648614
-6,0.9,0.006251286321372944,0.017992432857450558
-4,0.9,0.044481814005595345,0.08613826520794357
-2.5,0.9,0.08459905984440935,0.11330558002772868
