"","prev","b_int","auc","auc_uncorrected","auc_diff"
"1",-6,0.1,0,0,0
"2",-6,0.2,0.81736865670364,0.791418879115754,0.0259497775878866
"3",-6,0.3,0.819620943470159,0.793264859097723,0.0263560843724364
"4",-6,0.4,0.820853080845983,0.794836719703895,0.0260163611420878
"5",-6,0.5,0.818907111269547,0.792747435243606,0.0261596760259407
"6",-6,0.6,0.821213802033557,0.795257528416574,0.025956273616983
"7",-6,0.7,0.820311390229238,0.793852154166067,0.0264592360631706
"8",-6,0.8,0.821492726576967,0.795565176417713,0.025927550159254
"9",-6,0.9,0.819145887599407,0.794261164793683,0.0248847228057232
"10",-4,0.1,0,0.0145089738848543,-0.0145089738848543
"11",-4,0.2,0,0.0144957386363636,-0.0144957386363636
"12",-4,0.3,0,0.014372379092159,-0.014372379092159
"13",-4,0.4,0,0.0146706269163369,-0.0146706269163369
"14",-4,0.5,0,0.0143478443029988,-0.0143478443029988
"15",-4,0.6,0,0.0144676686059339,-0.0144676686059339
"16",-4,0.7,0,0.0146980553232248,-0.0146980553232248
"17",-4,0.8,0,0.0144278755859311,-0.0144278755859311
"18",-4,0.9,0,0.0146707229617677,-0.0146707229617677
"19",-2.5,0.1,0,0.0124392870737976,-0.0124392870737976
"20",-2.5,0.2,0,0.012648019553709,-0.012648019553709
"21",-2.5,0.3,0,0.0126431875025977,-0.0126431875025977
"22",-2.5,0.4,0,0.0127485048389239,-0.0127485048389239
"23",-2.5,0.5,0,0,0
"24",-2.5,0.6,0,0,0
"25",-2.5,0.7,0,0,0
"26",-2.5,0.8,0,0,0
"27",-2.5,0.9,0,0,0
